,Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY,property_type,property_type_num,location,city,state,neighborhood,neighborhood_num,Month,Year,Median_Sale_Price_Bin
1,"San Jose, CA - Alma-Almaden",January 2017,414000,20.9,-5.5,2,-33.3,-50.0,3.0,-25.0,50.0,2.0,-33.3,100.0,30.0,8.0,-10.0,103.7,-1.5,2.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,0,2017,1
3,"San Jose, CA - Berryessa",January 2017,535000,-0.9,-3.6,19,-9.5,11.8,22.0,29.4,69.2,13.0,44.4,333.3,26.0,2.0,8.0,98.7,-0.9,-6.6,condo,0,"['San Jose', ' CA - Berryessa']",san jose,ca,berryessa,3,0,2017,1
4,"San Jose, CA - Berryessa Creek",January 2017,520000,0.0,15.0,1,0.0,0.0,1.0,0.0,0.0,13.0,44.4,333.3,14.0,0.0,6.0,104.4,0.0,-8.9,condo,0,"['San Jose', ' CA - Berryessa Creek']",san jose,ca,berryessa,3,0,2017,1
5,"San Jose, CA - Bonita-24th",January 2017,400000,0.0,15.0,1,0.0,0.0,1.0,0.0,0.0,13.0,44.4,333.3,5.0,0.0,6.0,100.0,0.0,-8.9,condo,0,"['San Jose', ' CA - Bonita-24th']",san jose,ca,bonita-24th,4,0,2017,1
6,"San Jose, CA - Brigadoon",January 2017,518000,-7.6,15.0,2,-33.3,0.0,2.0,0.0,0.0,1.0,44.4,333.3,43.0,4.0,6.0,101.9,-2.0,-8.9,condo,0,"['San Jose', ' CA - Brigadoon']",san jose,ca,brigadoon,5,0,2017,1
8,"San Jose, CA - Cambrian",January 2017,543000,-6.6,15.0,2,-33.3,0.0,1.0,-66.7,0.0,1.0,0.0,333.3,25.0,-10.0,6.0,101.5,0.8,-8.9,condo,0,"['San Jose', ' CA - Cambrian']",san jose,ca,cambrian,7,0,2017,1
9,"San Jose, CA - Cambrian-Pioneer",January 2017,471000,-7.6,7.1,12,-29.4,33.3,10.0,42.9,11.1,4.0,33.3,33.3,41.0,6.0,6.0,99.4,-0.1,-1.2,condo,0,"['San Jose', ' CA - Cambrian-Pioneer']",san jose,ca,cambrian-pioneer,8,0,2017,1
10,"San Jose, CA - Cedarville-Giannotta",January 2017,439000,-23.9,15.8,3,-25.0,50.0,3.0,200.0,-25.0,2.0,33.3,-33.3,24.0,-1.0,-15.0,101.7,0.9,1.3,condo,0,"['San Jose', ' CA - Cedarville-Giannotta']",san jose,ca,cedarville-giannotta,9,0,2017,1
11,"San Jose, CA - Central San Jose",January 2017,550000,2.6,-9.8,75,-1.3,-5.1,57.0,-12.3,-9.5,26.0,73.3,-13.3,37.0,0.0,3.0,100.6,0.3,-1.2,condo,0,"['San Jose', ' CA - Central San Jose']",san jose,ca,central,10,0,2017,1
13,"San Jose, CA - Cherrywood",January 2017,446000,14.8,42.8,2,-33.3,100.0,1.0,0.0,-9.5,26.0,73.3,-13.3,29.0,9.0,8.0,102.9,1.2,6.2,condo,0,"['San Jose', ' CA - Cherrywood']",san jose,ca,cherrywood,12,0,2017,1
