,Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY,Zip Code,property_type,property_type_num,location,city,state,neighborhood,neighborhood_num,long,lat,Median_Sale_Price_Bin
41,"San Jose, CA - Alexander",15-Jun,352000,6.3,30.6,3.0,-25.0,-25.0,9.0,-10.0,125.0,6.0,-14.3,200.0,128.0,48.0,80.0,101.0,1.0,-1.7,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
49,"San Jose, CA - Alexander",16-Feb,365000,8.1,29.2,13.0,-7.1,116.7,6.0,-33.3,20.0,4.0,33.3,300.0,29.0,-3.0,14.0,102.2,-0.2,-2.4,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
50,"San Jose, CA - Alexander",16-Mar,355000,-2.7,20.4,6.0,-53.8,100.0,7.0,16.7,40.0,6.0,50.0,500.0,28.0,-1.0,21.0,99.9,-2.4,-3.9,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
51,"San Jose, CA - Alexander",16-Apr,365000,2.7,17.7,3.0,-50.0,-40.0,6.0,-14.3,50.0,5.0,-16.7,66.7,27.0,-1.0,20.0,101.6,1.7,-2.0,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
52,"San Jose, CA - Alexander",16-May,346000,-5.3,4.4,5.0,66.7,25.0,8.0,33.3,-20.0,7.0,40.0,0.0,44.0,17.0,-36.0,102.2,0.7,2.3,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
54,"San Jose, CA - Alexander",16-Jul,351000,1.7,30.0,9.0,80.0,80.0,14.0,40.0,27.3,7.0,-12.5,75.0,43.0,-1.0,26.0,101.8,0.1,3.0,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
56,"San Jose, CA - Alexander",16-Sep,351000,3.2,12.1,11.0,10.0,0.0,8.0,-33.3,-11.1,2.0,-33.3,-71.4,37.0,-3.0,20.0,101.0,0.3,0.8,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
58,"San Jose, CA - Alexander",16-Nov,388000,15.7,31.1,4.0,-42.9,-33.3,5.0,0.0,-58.3,3.0,-25.0,-57.1,51.0,14.0,4.0,103.7,3.2,0.7,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
59,"San Jose, CA - Alexander",16-Dec,365000,-5.9,5.8,5.0,25.0,-58.3,4.0,-20.0,-66.7,3.0,-25.0,-57.1,34.0,-17.0,3.0,102.7,-1.0,-1.8,95116.0,condo,0,"['San Jose', ' CA - Alexander']",san jose,ca,alexander,0,-121.8505679,37.3558627,1
93,"San Jose, CA - Alma-Almaden",14-Oct,348000,0.7,7.9,8.0,14.3,0.0,8.0,0.0,0.0,3.0,0.0,-25.0,8.0,0.0,-5.0,100.5,-0.6,-2.2,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
94,"San Jose, CA - Alma-Almaden",14-Nov,350000,0.7,34.6,5.0,-37.5,-16.7,4.0,-50.0,33.3,2.0,-33.3,0.0,15.0,7.0,-8.0,100.2,-0.3,2.0,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
95,"San Jose, CA - Alma-Almaden",14-Dec,358000,2.1,40.2,6.0,20.0,-14.3,3.0,-25.0,200.0,2.0,-33.3,0.0,47.0,32.0,19.0,98.7,-1.5,2.7,95125.0,condo,0,"['San Jose', ' CA - Alma-Almaden']",san jose,ca,alma-almaden,1,-121.8904136,37.2909813,1
