Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Alexander",January 2012,$152K,-1%,18.8%,12,-7.7%,100%,12,0%,33.3%,9,50%,-43.8%,19,4,-26,103.4%,2.3%,10.2%
"San Jose, CA - Alexander",February 2012,$146K,-4%,-1.7%,10,-16.7%,42.9%,11,-8.3%,10%,3,-66.7%,-76.9%,20,2,-23,103.4%,0%,8.9%
"San Jose, CA - Alexander",March 2012,$146K,0%,-7%,13,30%,116.7%,12,9.1%,-20%,4,33.3%,-73.3%,23,3,-22,102%,-1.4%,4.7%
"San Jose, CA - Alexander",April 2012,$140K,-3.6%,-7.4%,10,-23.1%,25%,5,-58.3%,-68.8%,3,-25%,-81.3%,24,1,-21,100.5%,-1.5%,2.4%
"San Jose, CA - Alexander",May 2012,$150K,7%,12.8%,11,10%,0%,8,60%,-61.9%,2,-33.3%,-87.5%,25,1,-5,100.8%,0.3%,2.3%
"San Jose, CA - Alexander",June 2012,$134K,-11%,1.9%,6,-45.5%,-53.8%,6,-25%,-66.7%,2,0%,-83.3%,17,-8,-34,100.8%,0%,-0.7%
"San Jose, CA - Alexander",July 2012,$132K,-1.1%,1.5%,7,16.7%,-53.3%,9,50%,-52.6%,3,50%,-80%,20,3,-23,100.7%,-0.1%,1.2%
"San Jose, CA - Alexander",August 2012,$126K,-4.5%,-1.2%,6,-14.3%,-62.5%,7,-22.2%,-56.3%,1,-66.7%,-90.9%,24,4,-29,100.6%,-0.1%,1.8%
"San Jose, CA - Alexander",September 2012,$128K,1.6%,-9.5%,6,0%,-64.7%,8,14.3%,-52.9%,3,200%,-70%,28,4,-16,99.8%,-0.8%,3.7%
"San Jose, CA - Alexander",October 2012,$128K,0%,-10%,6,0%,-62.5%,5,-37.5%,-73.7%,1,-66.7%,-90.9%,17,-11,-19,99.8%,0%,3%
"San Jose, CA - Alexander",November 2012,$144K,12.1%,-6.2%,10,66.7%,-23.1%,7,40%,-53.3%,,,,12,-5,-11,104.1%,4.3%,5.7%
"San Jose, CA - Alexander",December 2012,$162K,13.1%,6%,8,-20%,-38.5%,4,-42.9%,-66.7%,,,,10,-2,-5,106.7%,2.6%,5.5%
"San Jose, CA - Alexander",January 2013,$170K,4.5%,11.9%,7,-12.5%,-41.7%,4,0%,-66.7%,1,,-88.9%,11,1,-8,107.6%,1%,4.2%
"San Jose, CA - Alexander",February 2013,$295K,74%,102.7%,1,-85.7%,-90%,4,0%,-63.6%,2,100%,-33.3%,11,0,-9,107.1%,-0.5%,3.7%
"San Jose, CA - Alexander",March 2013,$223K,-24.3%,53.4%,2,100%,-84.6%,5,25%,-58.3%,,,,10,-1,-13,110.2%,3.2%,8.3%
"San Jose, CA - Alexander",April 2013,$226K,1.2%,61.1%,3,50%,-70%,11,120%,120%,5,,66.7%,13,3,-11,106.3%,-3.9%,5.8%
"San Jose, CA - Alexander",May 2013,$236K,4.2%,57%,8,166.7%,-27.3%,10,-9.1%,25%,4,-20%,100%,9,-4,-16,107%,0.7%,6.2%
"San Jose, CA - Alexander",June 2013,$251K,6.6%,88%,9,12.5%,50%,16,60%,166.7%,7,75%,250%,15,6,-2,103.9%,-3.1%,3.1%
"San Jose, CA - Alexander",July 2013,$251K,0%,90.2%,11,22.2%,57.1%,12,-25%,33.3%,4,-42.9%,33.3%,15,0,-5,105.6%,1.7%,4.9%
"San Jose, CA - Alexander",August 2013,$257K,2.4%,104%,9,-18.2%,50%,13,8.3%,85.7%,6,50%,500%,34,19,11,105.7%,0.1%,5%
"San Jose, CA - Alexander",September 2013,$249K,-3.1%,94.5%,7,-22.2%,16.7%,12,-7.7%,50%,10,66.7%,233.3%,47,13,20,105.3%,-0.4%,5.5%
