Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,Zip Code
"San Jose, CA - Alexander",12-Jan,$152K,-1%,18.80%,12,-7.70%,100%,12,0%,33.30%,9,50%,-43.80%,19,4,-26,103.40%,2.30%,10.20%,95116
"San Jose, CA - Alexander",12-Feb,$146K,-4%,-1.70%,10,-16.70%,42.90%,11,-8.30%,10%,3,-66.70%,-76.90%,20,2,-23,103.40%,0%,8.90%,95116
"San Jose, CA - Alexander",12-Mar,$146K,0%,-7%,13,30%,116.70%,12,9.10%,-20%,4,33.30%,-73.30%,23,3,-22,102%,-1.40%,4.70%,95116
"San Jose, CA - Alexander",12-Apr,$140K,-3.60%,-7.40%,10,-23.10%,25%,5,-58.30%,-68.80%,3,-25%,-81.30%,24,1,-21,100.50%,-1.50%,2.40%,95116
"San Jose, CA - Alexander",12-May,$150K,7%,12.80%,11,10%,0%,8,60%,-61.90%,2,-33.30%,-87.50%,25,1,-5,100.80%,0.30%,2.30%,95116
"San Jose, CA - Alexander",12-Jun,$134K,-11%,1.90%,6,-45.50%,-53.80%,6,-25%,-66.70%,2,0%,-83.30%,17,-8,-34,100.80%,0%,-0.70%,95116
"San Jose, CA - Alexander",12-Jul,$132K,-1.10%,1.50%,7,16.70%,-53.30%,9,50%,-52.60%,3,50%,-80%,20,3,-23,100.70%,-0.10%,1.20%,95116
"San Jose, CA - Alexander",12-Aug,$126K,-4.50%,-1.20%,6,-14.30%,-62.50%,7,-22.20%,-56.30%,1,-66.70%,-90.90%,24,4,-29,100.60%,-0.10%,1.80%,95116
"San Jose, CA - Alexander",12-Sep,$128K,1.60%,-9.50%,6,0%,-64.70%,8,14.30%,-52.90%,3,200%,-70%,28,4,-16,99.80%,-0.80%,3.70%,95116
"San Jose, CA - Alexander",12-Oct,$128K,0%,-10%,6,0%,-62.50%,5,-37.50%,-73.70%,1,-66.70%,-90.90%,17,-11,-19,99.80%,0%,3%,95116
"San Jose, CA - Alexander",12-Nov,$144K,12.10%,-6.20%,10,66.70%,-23.10%,7,40%,-53.30%,,,,12,-5,-11,104.10%,4.30%,5.70%,95116
"San Jose, CA - Alexander",12-Dec,$162K,13.10%,6%,8,-20%,-38.50%,4,-42.90%,-66.70%,,,,10,-2,-5,106.70%,2.60%,5.50%,95116
"San Jose, CA - Alexander",13-Jan,$170K,4.50%,11.90%,7,-12.50%,-41.70%,4,0%,-66.70%,1,,-88.90%,11,1,-8,107.60%,1%,4.20%,95116
"San Jose, CA - Alexander",13-Feb,$295K,74%,102.70%,1,-85.70%,-90%,4,0%,-63.60%,2,100%,-33.30%,11,0,-9,107.10%,-0.50%,3.70%,95116
"San Jose, CA - Alexander",13-Mar,$223K,-24.30%,53.40%,2,100%,-84.60%,5,25%,-58.30%,,,,10,-1,-13,110.20%,3.20%,8.30%,95116
"San Jose, CA - Alexander",13-Apr,$226K,1.20%,61.10%,3,50%,-70%,11,120%,120%,5,,66.70%,13,3,-11,106.30%,-3.90%,5.80%,95116
"San Jose, CA - Alexander",13-May,$236K,4.20%,57%,8,166.70%,-27.30%,10,-9.10%,25%,4,-20%,100%,9,-4,-16,107%,0.70%,6.20%,95116
"San Jose, CA - Alexander",13-Jun,$251K,6.60%,88%,9,12.50%,50%,16,60%,166.70%,7,75%,250%,15,6,-2,103.90%,-3.10%,3.10%,95116
"San Jose, CA - Alexander",13-Jul,$251K,0%,90.20%,11,22.20%,57.10%,12,-25%,33.30%,4,-42.90%,33.30%,15,0,-5,105.60%,1.70%,4.90%,95116
"San Jose, CA - Alexander",13-Aug,$257K,2.40%,104%,9,-18.20%,50%,13,8.30%,85.70%,6,50%,500%,34,19,11,105.70%,0.10%,5%,95116
"San Jose, CA - Alexander",13-Sep,$249K,-3.10%,94.50%,7,-22.20%,16.70%,12,-7.70%,50%,10,66.70%,233.30%,47,13,20,105.30%,-0.40%,5.50%,95116
"San Jose, CA - Alexander",13-Oct,$232K,-6.80%,81.30%,7,0%,16.70%,15,25%,200%,6,-40%,500%,44,-3,27,100.10%,-5.20%,0.30%,95116
"San Jose, CA - Alexander",13-Nov,$230K,-1%,60.10%,8,14.30%,-20%,15,0%,114.30%,6,0%,,19,-26,7,97.30%,-2.80%,-6.80%,95116
"San Jose, CA - Alexander",13-Dec,$232K,1%,43%,11,37.50%,37.50%,11,-26.70%,175%,5,-16.70%,,18,-1,8,99.50%,2.20%,-7.10%,95116
"San Jose, CA - Alexander",14-Jan,$230K,-0.90%,35.70%,9,-18.20%,28.60%,5,-54.50%,25%,3,-40%,200%,14,-4,3,100.70%,1.20%,-6.90%,95116
"San Jose, CA - Alexander",14-Feb,$243K,5.40%,-17.80%,6,-33.30%,500%,4,-20%,0%,4,33.30%,100%,24,10,13,101.30%,0.60%,-5.70%,95116
"San Jose, CA - Alexander",14-Mar,$220K,-9.30%,-1.50%,5,-16.70%,150%,3,-25%,-40%,2,-50%,,39,16,29,100.90%,-0.50%,-9.40%,95116
