Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Alexander",December 2013,$720K,,,1,,,3,,,1,,,14,,,103%,,
"San Jose, CA - Alexander",January 2014,$720K,0%,,1,0%,,2,-33.3%,,1,0%,,14,0,,103%,0%,
"San Jose, CA - Alexander",February 2014,$730K,1.3%,,2,100%,,,,,1,0%,,14,-1,,104.4%,1.4%,
"San Jose, CA - Alexander",March 2014,$739K,1.3%,,1,-50%,,,,,1,0%,,13,-1,,105.7%,1.4%,
"San Jose, CA - Alexander",April 2014,$739K,0%,,1,0%,,,,,1,0%,,13,0,,105.7%,0%,
"San Jose, CA - Alexander",December 2014,$780K,,8.3%,1,,0%,1,,-66.7%,,,,17,,3,107.6%,,4.6%
"San Jose, CA - Alexander",January 2015,$780K,0%,8.3%,1,0%,0%,,,,,,,17,0,3,107.6%,0%,4.6%
"San Jose, CA - Alexander",February 2015,$780K,0%,6.9%,1,0%,-50%,,,,,,,17,0,4,107.6%,0%,3.2%
"San Jose, CA - Alexander",July 2015,$975K,,,1,,,2,,,,,,10,,,102.6%,,
"San Jose, CA - Alexander",August 2015,$975K,0%,,1,0%,,,,,,,,10,0,,102.6%,0%,
"San Jose, CA - Alexander",September 2015,$983K,0.8%,,2,100%,,,,,,,,45,35,,103.4%,0.8%,
"San Jose, CA - Alexander",October 2015,$990K,0.8%,,1,-50%,,,,,,,,80,35,,104.2%,0.8%,
"San Jose, CA - Alexander",November 2015,$990K,0%,,1,0%,,,,,,,,80,0,,104.2%,0%,
"San Jose, CA - Alma-Almaden",January 2012,$500K,,,1,,,,,,,,,154,,,100%,,
"San Jose, CA - Alma-Almaden",February 2012,$500K,0%,,1,0%,,,,,,,,154,0,,100%,0%,
"San Jose, CA - Alma-Almaden",March 2012,$500K,0%,,1,0%,,,,,,,,154,0,,100%,0%,
"San Jose, CA - Almaden Valley",July 2012,$800K,,-6.9%,1,,-50%,1,,,,,,21,,-36,97%,,-0.8%
"San Jose, CA - Almaden Valley",August 2012,$800K,0%,,1,0%,,,,,,,,21,0,,97%,0%,
"San Jose, CA - Almaden Valley",September 2012,$800K,0%,,1,0%,,,,,,,,21,0,,97%,0%,
"San Jose, CA - Almaden Valley",November 2013,$953K,,,1,,,1,,,,,,24,,,100.3%,,
"San Jose, CA - Almaden Valley",December 2013,$953K,0%,,1,0%,,,,,,,,24,0,,100.3%,0%,
"San Jose, CA - Almaden Valley",January 2014,$953K,0%,,1,0%,,,,,,,,24,0,,100.3%,0%,
"San Jose, CA - Almaden Valley",April 2014,"$1,030K",,,1,,,2,,,,,,32,,,104.2%,,
"San Jose, CA - Almaden Valley",May 2014,"$1,179K",14.5%,,2,100%,,1,-50%,,,,,25,-7,,99.5%,-4.6%,
"San Jose, CA - Almaden Valley",June 2014,"$1,179K",0%,,2,0%,,,,,,,,25,0,,99.5%,0%,
"San Jose, CA - Almaden Valley",July 2014,"$1,328K",12.6%,,1,-50%,,,,,,,,18,-7,,94.9%,-4.6%,
"San Jose, CA - Almaden Valley",March 2016,"$1,300K",,,1,,,,,,,,,37,,,100.9%,,
"San Jose, CA - Almaden Valley",April 2016,"$1,300K",0%,,1,0%,,,,,,,,37,0,,100.9%,0%,
"San Jose, CA - Almaden Valley",May 2016,"$1,300K",0%,,1,0%,,,,,,,,37,0,,100.9%,0%,
"San Jose, CA - Anderson East",November 2014,$730K,,,1,,,1,,,,,,35,,,97.3%,,
"San Jose, CA - Anderson East",December 2014,$730K,0%,,1,0%,,,,,,,,35,0,,97.3%,0%,
"San Jose, CA - Anderson East",January 2015,$730K,0%,,1,0%,,,,,,,,35,0,,97.3%,0%,
"San Jose, CA - Atlanta Bird",January 2012,$300K,0%,-18.4%,1,0%,-50%,2,100%,0%,2,100%,100%,213,0,130,100.3%,0%,2.5%
"San Jose, CA - Atlanta Bird",February 2012,$250K,-16.7%,-32%,2,100%,0%,2,0%,0%,1,-50%,0%,139,-74,56,83.6%,-16.7%,-14.2%
"San Jose, CA - Atlanta Bird",March 2012,$383K,53%,14.2%,2,0%,100%,2,0%,,,,,40,-99,32,90.1%,6.4%,-5.7%
"San Jose, CA - Atlanta Bird",April 2012,$383K,0%,,2,0%,,1,-50%,,,,,40,0,,90.1%,0%,
"San Jose, CA - Atlanta Bird",May 2012,$515K,34.6%,162.8%,2,0%,100%,1,0%,0%,,,,31,-10,-96,108.3%,18.2%,29.7%
"San Jose, CA - Atlanta Bird",June 2012,$465K,-9.7%,137.2%,1,-50%,0%,,,,,,,46,16,-80,103.3%,-4.9%,24.8%
"San Jose, CA - Atlanta Bird",July 2012,$465K,0%,137.2%,1,0%,0%,,,,,,,46,0,-80,103.3%,0%,24.8%
"San Jose, CA - Atlanta Bird",September 2012,$305K,,,2,,,2,,,,,,,,,100.6%,,
"San Jose, CA - Atlanta Bird",October 2012,$305K,0%,,2,0%,,2,0%,,,,,,,,100.6%,0%,
"San Jose, CA - Atlanta Bird",November 2012,$305K,0%,,2,0%,,2,0%,,,,,,,,100.6%,0%,
"San Jose, CA - Atlanta Bird",January 2013,$405K,,35%,1,,0%,,,,,,,,,,57.9%,,-42.5%
"San Jose, CA - Atlanta Bird",February 2013,$405K,0%,62%,1,0%,-50%,,,,,,,,,,57.9%,0%,-25.8%
"San Jose, CA - Atlanta Bird",March 2013,$405K,0%,5.9%,1,0%,-50%,,,,,,,,,,57.9%,0%,-32.2%
"San Jose, CA - Atlanta Bird",February 2014,$500K,,23.5%,1,,0%,1,,,,,,19,,,119%,,61.2%
"San Jose, CA - Atlanta Bird",March 2014,$500K,0%,23.5%,1,0%,0%,1,0%,,,,,19,0,,119%,0%,61.2%
"San Jose, CA - Atlanta Bird",April 2014,$500K,0%,,1,0%,,,,,,,,19,0,,119%,0%,
"San Jose, CA - Atlanta Bird",June 2015,$752K,,,1,,,3,,,1,,,62,,,100.3%,,
"San Jose, CA - Atlanta Bird",July 2015,$626K,-16.8%,,2,100%,,1,-66.7%,,,,,38,-24,,91.8%,-8.5%,
"San Jose, CA - Atlanta Bird",August 2015,$561K,-10.4%,,3,50%,,1,0%,,,,,32,-6,,92.4%,0.6%,
"San Jose, CA - Atlanta Bird",September 2015,$530K,-5.4%,,2,-33.3%,,,,,,,,23,-9,,88.5%,-3.9%,
"San Jose, CA - Atlanta Bird",October 2015,$561K,5.7%,,1,-50%,,,,,,,,32,9,,93.6%,5.1%,
"San Jose, CA - Atlanta Bird",May 2016,$800K,,,1,,,2,,,1,,,10,,,108.3%,,
"San Jose, CA - Atlanta Bird",June 2016,$800K,0%,6.4%,1,0%,0%,3,50%,0%,2,100%,100%,10,0,-52,108.3%,0%,8%
"San Jose, CA - Atlanta Bird",July 2016,$800K,0%,27.8%,1,0%,-50%,2,-33.3%,100%,2,0%,,10,0,-28,108.3%,0%,16.5%
"San Jose, CA - Atlanta Bird",September 2016,$710K,,33.9%,1,,-50%,,,,,,,112,,89,101.7%,,13.3%
"San Jose, CA - Atlanta Bird",October 2016,$710K,0%,26.6%,1,0%,0%,1,,,1,,,112,0,80,101.7%,0%,8.1%
"San Jose, CA - Atlanta Bird",November 2016,$710K,0%,,1,0%,,1,0%,,1,0%,,112,0,,101.7%,0%,
"San Jose, CA - Barbera-Stokes",May 2012,$815K,,,1,,,2,,,1,,,20,,,95.9%,,
"San Jose, CA - Barbera-Stokes",June 2012,$815K,0%,,1,0%,,1,-50%,,,,,20,0,,95.9%,0%,
"San Jose, CA - Barbera-Stokes",July 2012,$835K,2.5%,26.7%,2,100%,100%,1,0%,,,,,12,-9,-149,98.5%,2.6%,-1.5%
"San Jose, CA - Barbera-Stokes",August 2012,$855K,2.4%,29.7%,1,-50%,0%,,,,,,,3,-9,-157,101.2%,2.6%,1.2%
"San Jose, CA - Barbera-Stokes",September 2012,$855K,0%,29.7%,1,0%,0%,,,,,,,3,0,-157,101.2%,0%,1.2%
"San Jose, CA - Barbera-Stokes",December 2012,$865K,,,1,,,1,,,,,,52,,,96.2%,,
"San Jose, CA - Barbera-Stokes",January 2013,$865K,0%,,1,0%,,,,,,,,52,0,,96.2%,0%,
"San Jose, CA - Barbera-Stokes",February 2013,$865K,0%,,1,0%,,,,,,,,52,0,,96.2%,0%,
"San Jose, CA - Berryessa",November 2012,$820K,,,1,,,,,,,,,79,,,96.5%,,
"San Jose, CA - Berryessa",December 2012,$820K,0%,,1,0%,,,,,,,,79,0,,96.5%,0%,
"San Jose, CA - Berryessa",January 2013,$848K,3.4%,,2,100%,,,,,,,,118,39,,96.9%,0.4%,
"San Jose, CA - Berryessa",February 2013,$875K,3.2%,,1,-50%,,,,,,,,156,39,,97.3%,0.4%,
"San Jose, CA - Berryessa",March 2013,$875K,0%,,1,0%,,,,,,,,156,0,,97.3%,0%,
"San Jose, CA - Berryessa",July 2016,"$1,078K",,,1,,,1,,,,,,21,,,102.7%,,
"San Jose, CA - Berryessa",August 2016,"$1,078K",0%,,1,0%,,1,0%,,,,,21,0,,102.7%,0%,
"San Jose, CA - Berryessa",September 2016,"$1,078K",0%,,1,0%,,,,,,,,21,0,,102.7%,0%,
"San Jose, CA - Blackford",January 2012,$655K,0%,,1,0%,,2,0%,,,,,10,0,,100%,0%,
"San Jose, CA - Blackford",February 2012,$673K,2.7%,-0.7%,2,100%,0%,3,50%,50%,,,,10,0,-49,102.5%,2.5%,4.6%
"San Jose, CA - Blackford",March 2012,$677K,0.6%,1.8%,2,0%,-50%,3,0%,200%,1,,0%,6,-5,-57,102.5%,0%,4.9%
"San Jose, CA - Blackford",April 2012,$677K,0%,1.8%,2,0%,-50%,3,0%,200%,,,,6,0,-57,102.5%,0%,4.9%
"San Jose, CA - Blackford",May 2012,$806K,19.1%,28%,2,0%,0%,3,0%,200%,,,,22,16,-82,98.1%,-4.4%,0.8%
"San Jose, CA - Blackford",June 2012,$830K,2.9%,,3,50%,,3,0%,,1,,,25,4,,98%,-0.1%,
"San Jose, CA - Blackford",July 2012,$830K,0%,,3,0%,,3,0%,,,,,25,0,,98%,0%,
"San Jose, CA - Blackford",August 2012,$830K,0%,,3,0%,,2,-33.3%,,,,,20,-5,,99.7%,1.7%,
"San Jose, CA - Blackford",September 2012,$875K,5.4%,,1,-66.7%,,2,0%,,1,,,20,0,,101.2%,1.5%,
"San Jose, CA - Blackford",October 2012,$870K,-0.6%,,3,200%,,4,100%,,1,0%,,13,-7,,102.8%,1.7%,
"San Jose, CA - Blackford",November 2012,$870K,0%,,3,0%,,5,25%,,2,100%,,13,0,,100.7%,-2.1%,
"San Jose, CA - Blackford",December 2012,$870K,0%,32.8%,3,0%,200%,4,-20%,100%,2,0%,,13,0,3,100.7%,0%,0.7%
"San Jose, CA - Blackford",January 2013,$880K,1.1%,34.4%,2,-33.3%,100%,2,-50%,0%,2,0%,,29,16,19,95.3%,-5.4%,-4.7%
"San Jose, CA - Blackford",February 2013,$785K,-10.8%,16.6%,2,0%,0%,3,50%,0%,3,50%,,18,-11,8,100.5%,5.2%,-2%
"San Jose, CA - Blackford",March 2013,$788K,0.4%,16.4%,3,50%,50%,2,-33.3%,-33.3%,2,-33.3%,100%,8,-10,3,104.8%,4.3%,2.3%
"San Jose, CA - Blackford",April 2013,$749K,-4.9%,10.6%,2,-33.3%,0%,2,0%,-33.3%,2,0%,,6,-2,1,109.3%,4.5%,6.8%
"San Jose, CA - Blackford",May 2013,$788K,5.2%,-2.3%,1,-50%,-50%,,,,2,0%,,8,2,-14,113.4%,4.1%,15.3%
"San Jose, CA - Blackford",July 2013,$975K,,17.5%,1,,-66.7%,,,,,,,218,,193,97.5%,,-0.5%
"San Jose, CA - Blackford",August 2013,$975K,0%,17.5%,1,0%,-66.7%,,,,,,,218,0,198,97.5%,0%,-2.2%
"San Jose, CA - Blackford",September 2013,$975K,0%,11.4%,1,0%,0%,2,,0%,2,,100%,218,0,198,97.5%,0%,-3.7%
"San Jose, CA - Blackford",November 2013,"$1,199K",,37.8%,1,,-66.7%,2,,-60%,,,,2,,-11,100%,,-0.7%
"San Jose, CA - Blackford",December 2013,"$1,141K",-4.9%,31.1%,2,100%,-33.3%,,,,,,,24,22,11,97.1%,-2.9%,-3.7%
"San Jose, CA - Blackford",January 2014,"$1,141K",0%,29.6%,2,0%,0%,,,,,,,24,0,-5,97.1%,0%,1.8%
"San Jose, CA - Blackford",February 2014,"$1,083K",-5.1%,37.9%,1,-50%,-50%,1,,-66.7%,1,,-66.7%,46,22,29,94.1%,-2.9%,-6.3%
"San Jose, CA - Blackford",May 2014,$800K,,1.5%,3,,200%,2,,,,,,22,,14,104.5%,,-8.9%
"San Jose, CA - Blackford",June 2014,$800K,0%,,3,0%,,3,50%,,1,,,22,0,,104.5%,0%,
"San Jose, CA - Blackford",July 2014,$800K,0%,-17.9%,3,0%,200%,2,-33.3%,,,,,22,0,-196,104.5%,0%,7%
"San Jose, CA - Blackford",August 2014,"$1,075K",34.4%,10.3%,1,-66.7%,0%,1,-50%,,,,,22,0,-196,102.4%,-2.1%,4.9%
"San Jose, CA - Blackford",September 2014,"$1,075K",0%,10.3%,1,0%,0%,1,0%,-50%,1,,-50%,22,0,-196,102.4%,0%,4.9%
"San Jose, CA - Blackford",October 2014,"$1,075K",0%,,1,0%,,1,0%,,1,0%,,22,0,,102.4%,0%,
"San Jose, CA - Blackford",November 2014,$835K,-22.3%,-30.4%,1,0%,0%,3,200%,50%,1,0%,,12,-10,10,110.2%,7.8%,10.2%
"San Jose, CA - Blackford",December 2014,$835K,0%,-26.8%,1,0%,-50%,2,-33.3%,,1,0%,,12,0,-12,110.2%,0%,13.1%
"San Jose, CA - Blackford",January 2015,"$1,030K",23.4%,-9.7%,2,100%,0%,3,50%,,1,0%,,8,-5,-17,108.3%,-1.8%,11.3%
"San Jose, CA - Blackford",February 2015,"$1,203K",16.7%,11.1%,2,0%,100%,2,-33.3%,100%,1,0%,0%,48,40,2,100.5%,-7.9%,6.3%
"San Jose, CA - Blackford",March 2015,"$1,225K",1.9%,,3,50%,,4,100%,,2,100%,,11,-37,,101.4%,0.9%,
"San Jose, CA - Blackford",April 2015,"$1,240K",1.2%,,4,33.3%,,3,-25%,,,,,13,2,,104.1%,2.8%,
"San Jose, CA - Blackford",May 2015,"$1,300K",4.8%,62.5%,3,-25%,0%,2,-33.3%,0%,,,,11,-2,-11,107.4%,3.2%,2.9%
"San Jose, CA - Blackford",June 2015,"$1,127K",-13.3%,40.9%,2,-33.3%,-33.3%,1,-50%,-66.7%,1,,0%,12,1,-10,109.5%,2.1%,4.9%
