Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,Zip Code
"San Jose, CA - Alexander",Dec-13,$720K,,,1,,,3,,,1,,,14,,,103%,,,95116
"San Jose, CA - Alexander",Jan-14,$720K,0%,,1,0%,,2,-33.30%,,1,0%,,14,0,,103%,0%,,95116
"San Jose, CA - Alexander",Feb-14,$730K,1.30%,,2,100%,,,,,1,0%,,14,-1,,104.40%,1.40%,,95116
"San Jose, CA - Alexander",Mar-14,$739K,1.30%,,1,-50%,,,,,1,0%,,13,-1,,105.70%,1.40%,,95116
"San Jose, CA - Alexander",Apr-14,$739K,0%,,1,0%,,,,,1,0%,,13,0,,105.70%,0%,,95116
"San Jose, CA - Alexander",Dec-14,$780K,,8.30%,1,,0%,1,,-66.70%,,,,17,,3,107.60%,,4.60%,95116
"San Jose, CA - Alexander",Jan-15,$780K,0%,8.30%,1,0%,0%,,,,,,,17,0,3,107.60%,0%,4.60%,95116
"San Jose, CA - Alexander",Feb-15,$780K,0%,6.90%,1,0%,-50%,,,,,,,17,0,4,107.60%,0%,3.20%,95116
"San Jose, CA - Alexander",Jul-15,$975K,,,1,,,2,,,,,,10,,,102.60%,,,95116
"San Jose, CA - Alexander",Aug-15,$975K,0%,,1,0%,,,,,,,,10,0,,102.60%,0%,,95116
"San Jose, CA - Alexander",Sep-15,$983K,0.80%,,2,100%,,,,,,,,45,35,,103.40%,0.80%,,95116
"San Jose, CA - Alexander",Oct-15,$990K,0.80%,,1,-50%,,,,,,,,80,35,,104.20%,0.80%,,95116
"San Jose, CA - Alexander",Nov-15,$990K,0%,,1,0%,,,,,,,,80,0,,104.20%,0%,,95116
"San Jose, CA - Alma-Almaden",Jan-12,$500K,,,1,,,,,,,,,154,,,100%,,,95125
"San Jose, CA - Alma-Almaden",Feb-12,$500K,0%,,1,0%,,,,,,,,154,0,,100%,0%,,95125
"San Jose, CA - Alma-Almaden",Mar-12,$500K,0%,,1,0%,,,,,,,,154,0,,100%,0%,,95125
"San Jose, CA - Almaden Valley",Jul-12,$800K,,-6.90%,1,,-50%,1,,,,,,21,,-36,97%,,-0.80%,95120
"San Jose, CA - Almaden Valley",Aug-12,$800K,0%,,1,0%,,,,,,,,21,0,,97%,0%,,95120
