Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Jose, CA - Alexander",January 2012,$290K,20.2%,,1,-50%,,1,0%,,1,,,13,1,,101.8%,1.5%,
"San Jose, CA - Alexander",February 2012,$290K,0%,23.2%,1,0%,0%,1,0%,-66.7%,,,,13,0,9,101.8%,0%,-7.8%
"San Jose, CA - Alexander",March 2012,$300K,3.4%,27.4%,1,0%,0%,1,0%,-66.7%,,,,38,25,34,100%,-1.7%,-9.5%
"San Jose, CA - Alexander",April 2012,$300K,0%,27.4%,1,0%,0%,,,,,,,38,0,34,100%,0%,-9.5%
"San Jose, CA - Alexander",May 2012,$300K,0%,,1,0%,,,,,,,,38,0,,100%,0%,
"San Jose, CA - Alexander",December 2012,$295K,,22.3%,1,,-50%,,,,,,,11,,-2,107.1%,,6.8%
"San Jose, CA - Alexander",January 2013,$295K,0%,1.7%,1,0%,0%,,,,,,,11,0,-2,107.1%,0%,5.3%
"San Jose, CA - Alexander",February 2013,$295K,0%,1.7%,1,0%,0%,,,,,,,11,0,-2,107.1%,0%,5.3%
"San Jose, CA - Alexander",June 2013,$400K,,,1,,,1,,,,,,39,,,102.6%,,
"San Jose, CA - Alexander",July 2013,$400K,0%,,1,0%,,,,,,,,39,0,,102.6%,0%,
"San Jose, CA - Alexander",August 2013,$400K,0%,,1,0%,,1,,,,,,39,0,,102.6%,0%,
"San Jose, CA - Alexander",April 2015,$456K,,,1,,,1,,,1,,,154,,,100%,,
"San Jose, CA - Alexander",May 2015,$456K,0%,,1,0%,,1,0%,,1,0%,,154,0,,100%,0%,
"San Jose, CA - Alexander",June 2015,$456K,0%,,1,0%,,1,0%,,1,0%,,154,0,,100%,0%,
"San Jose, CA - Alexander",December 2015,$490K,,,3,,,2,,,,,,62,,,102.4%,,
"San Jose, CA - Alexander",January 2016,$490K,0%,,3,0%,,1,-50%,,,,,62,0,,102.4%,0%,
"San Jose, CA - Alexander",February 2016,$490K,0%,,3,0%,,,,,,,,62,0,,102.4%,0%,
"San Jose, CA - Alexander",November 2016,$396K,,,1,,,1,,,,,,22,,,110.2%,,
"San Jose, CA - Alexander",December 2016,$396K,0%,-19.3%,1,0%,-66.7%,1,0%,-50%,,,,22,0,-40,110.2%,0%,7.8%
"San Jose, CA - Alma-Almaden",July 2013,$345K,,,1,,,1,,,,,,3,,,115.4%,,
"San Jose, CA - Alma-Almaden",August 2013,$345K,0%,,1,0%,,1,0%,,,,,3,0,,115.4%,0%,
"San Jose, CA - Alma-Almaden",September 2013,$345K,0%,,1,0%,,,,,,,,3,0,,115.4%,0%,
"San Jose, CA - Alma-Almaden",June 2016,$600K,,,1,,,1,,,,,,75,,,100.2%,,
"San Jose, CA - Alma-Almaden",July 2016,$600K,0%,,1,0%,,,,,,,,75,0,,100.2%,0%,
"San Jose, CA - Alma-Almaden",August 2016,$600K,0%,,1,0%,,,,,,,,75,0,,100.2%,0%,
"San Jose, CA - Almaden Meadows",January 2012,$768K,0%,-4%,10,66.7%,11.1%,4,-50%,0%,2,-33.3%,0%,25,1,-32,99.4%,-0.7%,0.4%
"San Jose, CA - Almaden Meadows",February 2012,$771K,0.4%,0.5%,9,-10%,12.5%,2,-50%,-60%,2,0%,-60%,27,2,-32,98.2%,-1.1%,-0.4%
"San Jose, CA - Almaden Meadows",March 2012,$750K,-2.7%,2%,7,-22.2%,0%,6,200%,-14.3%,3,50%,-62.5%,23,-4,-34,100.3%,2%,-0.6%
"San Jose, CA - Almaden Meadows",April 2012,$708K,-5.6%,1.8%,3,-57.1%,50%,6,0%,-50%,3,0%,-70%,11,-12,-33,103.8%,3.5%,-2%
"San Jose, CA - Almaden Meadows",May 2012,$785K,10.9%,-1.9%,5,66.7%,66.7%,8,33.3%,-38.5%,4,33.3%,-55.6%,126,115,99,101.2%,-2.6%,-1.2%
"San Jose, CA - Almaden Meadows",June 2012,$848K,8%,3.6%,5,0%,-37.5%,7,-12.5%,-53.3%,3,-25%,-70%,126,0,110,98.7%,-2.5%,0%
"San Jose, CA - Almaden Meadows",July 2012,$855K,0.8%,4.5%,7,40%,-30%,11,57.1%,10%,8,166.7%,14.3%,28,-98,12,99.1%,0.5%,0.2%
"San Jose, CA - Almaden Meadows",August 2012,$848K,-0.8%,14.7%,7,0%,-36.4%,12,9.1%,33.3%,8,0%,0%,18,-10,3,99.9%,0.8%,1.6%
"San Jose, CA - Almaden Meadows",September 2012,$760K,-10.4%,7.8%,9,28.6%,28.6%,13,8.3%,160%,7,-12.5%,75%,21,3,2,100.2%,0.3%,1.7%
