Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,Zip Code
"San Jose, CA - Alexander",Jan-12,$290K,20.20%,,1,-50%,,1,0%,,1,,,13,1,,101.80%,1.50%,,95116
"San Jose, CA - Alexander",Feb-12,$290K,0%,23.20%,1,0%,0%,1,0%,-66.70%,,,,13,0,9,101.80%,0%,-7.80%,95116
"San Jose, CA - Alexander",Mar-12,$300K,3.40%,27.40%,1,0%,0%,1,0%,-66.70%,,,,38,25,34,100%,-1.70%,-9.50%,95116
"San Jose, CA - Alexander",Apr-12,$300K,0%,27.40%,1,0%,0%,,,,,,,38,0,34,100%,0%,-9.50%,95116
"San Jose, CA - Alexander",May-12,$300K,0%,,1,0%,,,,,,,,38,0,,100%,0%,,95116
"San Jose, CA - Alexander",Dec-12,$295K,,22.30%,1,,-50%,,,,,,,11,,-2,107.10%,,6.80%,95116
"San Jose, CA - Alexander",Jan-13,$295K,0%,1.70%,1,0%,0%,,,,,,,11,0,-2,107.10%,0%,5.30%,95116
"San Jose, CA - Alexander",Feb-13,$295K,0%,1.70%,1,0%,0%,,,,,,,11,0,-2,107.10%,0%,5.30%,95116
"San Jose, CA - Alexander",Jun-13,$400K,,,1,,,1,,,,,,39,,,102.60%,,,95116
"San Jose, CA - Alexander",Jul-13,$400K,0%,,1,0%,,,,,,,,39,0,,102.60%,0%,,95116
"San Jose, CA - Alexander",Aug-13,$400K,0%,,1,0%,,1,,,,,,39,0,,102.60%,0%,,95116
"San Jose, CA - Alexander",Apr-15,$456K,,,1,,,1,,,1,,,154,,,100%,,,95116
"San Jose, CA - Alexander",May-15,$456K,0%,,1,0%,,1,0%,,1,0%,,154,0,,100%,0%,,95116
"San Jose, CA - Alexander",Jun-15,$456K,0%,,1,0%,,1,0%,,1,0%,,154,0,,100%,0%,,95116
"San Jose, CA - Alexander",Dec-15,$490K,,,3,,,2,,,,,,62,,,102.40%,,,95116
"San Jose, CA - Alexander",Jan-16,$490K,0%,,3,0%,,1,-50%,,,,,62,0,,102.40%,0%,,95116
"San Jose, CA - Alexander",Feb-16,$490K,0%,,3,0%,,,,,,,,62,0,,102.40%,0%,,95116
"San Jose, CA - Alexander",Nov-16,$396K,,,1,,,1,,,,,,22,,,110.20%,,,95116
"San Jose, CA - Alexander",Dec-16,$396K,0%,-19.30%,1,0%,-66.70%,1,0%,-50%,,,,22,0,-40,110.20%,0%,7.80%,95116
"San Jose, CA - Alma-Almaden",Jul-13,$345K,,,1,,,1,,,,,,3,,,115.40%,,,95125
"San Jose, CA - Alma-Almaden",Aug-13,$345K,0%,,1,0%,,1,0%,,,,,3,0,,115.40%,0%,,95125
"San Jose, CA - Alma-Almaden",Sep-13,$345K,0%,,1,0%,,,,,,,,3,0,,115.40%,0%,,95125
"San Jose, CA - Alma-Almaden",Jun-16,$600K,,,1,,,1,,,,,,75,,,100.20%,,,95125
"San Jose, CA - Alma-Almaden",Jul-16,$600K,0%,,1,0%,,,,,,,,75,0,,100.20%,0%,,95125
"San Jose, CA - Alma-Almaden",Aug-16,$600K,0%,,1,0%,,,,,,,,75,0,,100.20%,0%,,95125
"San Jose, CA - Almaden Meadows",Jan-12,$768K,0%,-4%,10,66.70%,11.10%,4,-50%,0%,2,-33.30%,0%,25,1,-32,99.40%,-0.70%,0.40%,95120
"San Jose, CA - Almaden Meadows",Feb-12,$771K,0.40%,0.50%,9,-10%,12.50%,2,-50%,-60%,2,0%,-60%,27,2,-32,98.20%,-1.10%,-0.40%,95120
"San Jose, CA - Almaden Meadows",Mar-12,$750K,-2.70%,2%,7,-22.20%,0%,6,200%,-14.30%,3,50%,-62.50%,23,-4,-34,100.30%,2%,-0.60%,95120
"San Jose, CA - Almaden Meadows",Apr-12,$708K,-5.60%,1.80%,3,-57.10%,50%,6,0%,-50%,3,0%,-70%,11,-12,-33,103.80%,3.50%,-2%,95120
"San Jose, CA - Almaden Meadows",May-12,$785K,10.90%,-1.90%,5,66.70%,66.70%,8,33.30%,-38.50%,4,33.30%,-55.60%,126,115,99,101.20%,-2.60%,-1.20%,95120
"San Jose, CA - Almaden Meadows",Jun-12,$848K,8%,3.60%,5,0%,-37.50%,7,-12.50%,-53.30%,3,-25%,-70%,126,0,110,98.70%,-2.50%,0%,95120
"San Jose, CA - Almaden Meadows",Jul-12,$855K,0.80%,4.50%,7,40%,-30%,11,57.10%,10%,8,166.70%,14.30%,28,-98,12,99.10%,0.50%,0.20%,95120
"San Jose, CA - Almaden Meadows",Aug-12,$848K,-0.80%,14.70%,7,0%,-36.40%,12,9.10%,33.30%,8,0%,0%,18,-10,3,99.90%,0.80%,1.60%,95120
"San Jose, CA - Almaden Meadows",Sep-12,$760K,-10.40%,7.80%,9,28.60%,28.60%,13,8.30%,160%,7,-12.50%,75%,21,3,2,100.20%,0.30%,1.70%,95120
"San Jose, CA - Almaden Meadows",Oct-12,$788K,3.60%,9.80%,10,11.10%,66.70%,10,-23.10%,11.10%,5,-28.60%,-28.60%,17,-5,-9,99.80%,-0.40%,2%,95120
"San Jose, CA - Almaden Meadows",Nov-12,$848K,7.70%,18.20%,12,20%,200%,8,-20%,-11.10%,1,-80%,-83.30%,26,10,9,99%,-0.80%,-3.30%,95120
"San Jose, CA - Almaden Meadows",Dec-12,$880K,3.80%,14.60%,11,-8.30%,83.30%,5,-37.50%,-37.50%,1,0%,-66.70%,24,-2,-1,98.60%,-0.40%,-1.50%,95120
"San Jose, CA - Almaden Meadows",Jan-13,$817K,-7.20%,6.40%,9,-18.20%,-10%,6,20%,50%,2,100%,0%,28,4,3,98.80%,0.20%,-0.60%,95120
"San Jose, CA - Almaden Meadows",Feb-13,$910K,11.40%,18%,7,-22.20%,-22.20%,9,50%,350%,4,100%,100%,11,-17,-16,101.60%,2.80%,3.30%,95120
"San Jose, CA - Almaden Meadows",Mar-13,$962K,5.70%,28.30%,7,0%,0%,13,44.40%,116.70%,4,0%,33.30%,8,-3,-15,102.60%,1.10%,2.30%,95120
"San Jose, CA - Almaden Meadows",Apr-13,$956K,-0.60%,35%,10,42.90%,233.30%,14,7.70%,133.30%,4,0%,33.30%,14,6,3,101.30%,-1.30%,-2.40%,95120
"San Jose, CA - Almaden Meadows",May-13,$954K,-0.20%,21.50%,15,50%,200%,13,-7.10%,62.50%,3,-25%,-25%,13,-2,-114,101.20%,-0.10%,0.10%,95120
"San Jose, CA - Almaden Meadows",Jun-13,$951K,-0.30%,12.10%,14,-6.70%,180%,17,30.80%,142.90%,8,166.70%,166.70%,15,3,-111,101.50%,0.30%,2.90%,95120
"San Jose, CA - Almaden Meadows",Jul-13,$954K,0.30%,11.60%,13,-7.10%,85.70%,20,17.60%,81.80%,7,-12.50%,-12.50%,13,-3,-16,102.30%,0.80%,3.20%,95120
