Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,Zip Code
"San Jose, CA - Alexander",12-Jan,$97K,,,1,,,,,,,,,47,,,98.00%,,,95116
"San Jose, CA - Alexander",12-Feb,$97K,0.00%,,1,0.00%,,,,,,,,47,0,,98.00%,0.00%,,95116
"San Jose, CA - Alexander",12-Mar,$97K,0.00%,,1,0.00%,,,,,,,,47,0,,98.00%,0.00%,,95116
"San Jose, CA - Alma-Almaden",12-Mar,$216K,,,1,,,,,,,,,44,,,99.10%,,,95125
"San Jose, CA - Alma-Almaden",12-Apr,$216K,0.00%,,1,0.00%,,,,,,,,44,0,,99.10%,0.00%,,95125
"San Jose, CA - Alma-Almaden",12-May,$216K,0.00%,,1,0.00%,,,,,,,,44,0,,99.10%,0.00%,,95125
"San Jose, CA - Alma-Almaden",12-Sep,$257K,,,1,,,1,,,,,,11,,,118.80%,,,95125
"San Jose, CA - Alma-Almaden",12-Oct,$257K,0.00%,,1,0.00%,,,,,,,,11,0,,118.80%,0.00%,,95125
"San Jose, CA - Alma-Almaden",12-Nov,$257K,0.00%,,1,0.00%,,,,,,,,11,0,,118.80%,0.00%,,95125
"San Jose, CA - Alma-Almaden",13-Jan,$285K,,,1,,,1,,,,,,9,,,105.90%,,,95125
"San Jose, CA - Alma-Almaden",13-Feb,$285K,0.00%,,1,0.00%,,1,0.00%,,,,,9,0,,105.90%,0.00%,,95125
"San Jose, CA - Alma-Almaden",13-Mar,$285K,0.00%,31.90%,1,0.00%,0.00%,1,0.00%,,,,,9,0,-35,105.90%,0.00%,6.80%,95125
"San Jose, CA - Almaden Valley",12-Jan,$633K,20.60%,15.10%,4,-42.90%,-42.90%,8,14.30%,0.00%,7,16.70%,-41.70%,256,103,173,97.50%,-0.40%,2.10%,95120
"San Jose, CA - Almaden Valley",12-Feb,$480K,-24.20%,-24.70%,3,-25.00%,-50.00%,7,-12.50%,0.00%,7,0.00%,-53.30%,21,-235,-136,96.10%,-1.40%,1.00%,95120
"San Jose, CA - Almaden Valley",12-Mar,$490K,2.10%,-4.90%,4,33.30%,33.30%,9,28.60%,-40.00%,4,-42.90%,-78.90%,16,-6,-157,96.50%,0.40%,2.10%,95120
"San Jose, CA - Almaden Valley",12-Apr,$520K,6.10%,0.00%,7,75.00%,40.00%,10,11.10%,-41.20%,6,50.00%,-60.00%,14,-2,1,97.60%,1.10%,-0.30%,95120
"San Jose, CA - Almaden Valley",12-May,$600K,15.40%,15.40%,11,57.10%,37.50%,17,70.00%,-5.60%,9,50.00%,-43.80%,19,5,-10,99.20%,1.60%,1.70%,95120
"San Jose, CA - Almaden Valley",12-Jun,$665K,10.80%,26.00%,16,45.50%,33.30%,18,5.90%,63.60%,6,-33.30%,-50.00%,13,-6,-20,99.20%,0.00%,2.90%,95120
"San Jose, CA - Almaden Valley",12-Jul,$662K,-0.50%,23.60%,20,25.00%,33.30%,15,-16.70%,25.00%,5,-16.70%,-66.70%,24,11,-49,98.90%,-0.30%,2.80%,95120
"San Jose, CA - Almaden Valley",12-Aug,$664K,0.30%,18.60%,17,-15.00%,30.80%,8,-46.70%,-20.00%,5,0.00%,-61.50%,44,20,-37,98.20%,-0.70%,1.70%,95120
"San Jose, CA - Almaden Valley",12-Sep,$664K,0.00%,29.70%,11,-35.30%,-15.40%,7,-12.50%,-22.20%,5,0.00%,-54.50%,79,35,-59,98.10%,-0.10%,0.50%,95120
"San Jose, CA - Almaden Valley",12-Oct,$601K,-9.60%,18.40%,8,-27.30%,-11.10%,12,71.40%,71.40%,8,60.00%,-11.10%,63,-16,20,98.50%,0.50%,0.40%,95120
"San Jose, CA - Almaden Valley",12-Nov,$623K,3.80%,21.40%,8,0.00%,-20.00%,10,-16.70%,25.00%,3,-62.50%,-62.50%,41,-23,-56,99.60%,1.10%,2.00%,95120
"San Jose, CA - Almaden Valley",12-Dec,$622K,-0.20%,18.50%,11,37.50%,57.10%,9,-10.00%,28.60%,3,0.00%,-50.00%,38,-3,-116,100.60%,1.00%,2.80%,95120
"San Jose, CA - Almaden Valley",13-Jan,$625K,0.50%,-1.30%,7,-36.40%,75.00%,7,-22.20%,-12.50%,4,33.30%,-42.90%,20,-18,-236,101.20%,0.60%,3.70%,95120
"San Jose, CA - Almaden Valley",13-Feb,$695K,11.20%,44.80%,9,28.60%,200.00%,8,14.30%,14.30%,1,-75.00%,-85.70%,45,25,24,100.70%,-0.50%,4.60%,95120
"San Jose, CA - Almaden Valley",13-Mar,$750K,7.90%,53.10%,7,-22.20%,75.00%,12,50.00%,33.30%,3,200.00%,-25.00%,62,17,46,99.80%,-0.90%,3.40%,95120
"San Jose, CA - Almaden Valley",13-Apr,$749K,-0.10%,44.00%,13,85.70%,85.70%,13,8.30%,30.00%,3,0.00%,-50.00%,19,-43,5,101.70%,1.90%,4.10%,95120
"San Jose, CA - Almaden Valley",13-May,$695K,-7.20%,15.80%,15,15.40%,36.40%,16,23.10%,-5.90%,1,-66.70%,-88.90%,9,-10,-10,105.00%,3.20%,5.80%,95120
"San Jose, CA - Almaden Valley",13-Jun,$650K,-6.50%,-2.30%,17,13.30%,6.30%,17,6.30%,-5.60%,5,400.00%,-16.70%,8,-1,-5,105.10%,0.10%,5.90%,95120
"San Jose, CA - Almaden Valley",13-Jul,$690K,6.20%,4.20%,15,-11.80%,-25.00%,13,-23.50%,-13.30%,5,0.00%,0.00%,8,0,-16,105.30%,0.20%,6.30%,95120
"San Jose, CA - Almaden Valley",13-Aug,$650K,-5.80%,-2.10%,9,-40.00%,-47.10%,11,-15.40%,37.50%,2,-60.00%,-60.00%,9,1,-35,103.40%,-1.80%,5.20%,95120
"San Jose, CA - Almaden Valley",13-Sep,$775K,19.20%,16.70%,10,11.10%,-9.10%,8,-27.30%,14.30%,3,50.00%,-40.00%,12,3,-67,100.90%,-2.50%,2.80%,95120
"San Jose, CA - Almaden Valley",13-Oct,$758K,-2.30%,26.10%,8,-20.00%,0.00%,8,0.00%,-33.30%,2,-33.30%,-75.00%,24,12,-39,99.20%,-1.70%,0.70%,95120
"San Jose, CA - Almaden Valley",13-Nov,$758K,0.00%,21.50%,8,0.00%,0.00%,6,-25.00%,-40.00%,1,-50.00%,-66.70%,15,-9,-26,99.30%,0.10%,-0.30%,95120
"San Jose, CA - Almaden Valley",13-Dec,$700K,-7.60%,12.60%,6,-25.00%,-45.50%,4,-33.30%,-55.60%,1,0.00%,-66.70%,24,9,-14,98.80%,-0.50%,-1.80%,95120
"San Jose, CA - Almaden Valley",14-Jan,$668K,-4.60%,6.90%,5,-16.70%,-28.60%,3,-25.00%,-57.10%,2,100.00%,-50.00%,33,9,13,99.60%,0.80%,-1.60%,95120
"San Jose, CA - Almaden Valley",14-Feb,$704K,5.40%,1.30%,4,-20.00%,-55.60%,5,66.70%,-37.50%,2,0.00%,100.00%,37,4,-9,99.30%,-0.30%,-1.40%,95120
"San Jose, CA - Almaden Valley",14-Mar,$684K,-2.80%,-8.80%,4,0.00%,-42.90%,4,-20.00%,-66.70%,2,0.00%,-33.30%,8,-29,-54,106.30%,7.00%,6.50%,95120
